Date,Nom de l'entraînement,Durée,Nom de l'exercice,Ordre de la série,Poids,Réps,Distance,Secondes,Notes,Notes d'entraînement,RPE
2023-08-16 13:10:30,"Pecs Et Dos",35min,"Aerobics",1,0,0,0,600,"","",
2023-08-16 13:10:30,"Pecs Et Dos",35min,"Bench Press (Dumbbell)",1,20.0,8,0,0,"",,
2023-08-16 13:10:30,"Pecs Et Dos",35min,"Bench Press (Dumbbell)",2,25.0,8,0,0,,,
2023-08-16 13:10:30,"Pecs Et Dos",35min,"Bench Press (Dumbbell)",3,30.0,5,0,0,,,
2023-08-16 13:10:30,"Pecs Et Dos",35min,"Bench Press (Dumbbell)",4,25.0,7,0,0,,,
2023-08-16 13:10:30,"Pecs Et Dos",35min,"Incline Bench Press (Barbell)",1,20.0,8,0,0,"",,
2023-08-16 13:10:30,"Pecs Et Dos",35min,"Incline Bench Press (Barbell)",2,25.0,8,0,0,,,
2023-08-16 13:10:30,"Pecs Et Dos",35min,"Incline Bench Press (Barbell)",3,30.0,5,0,0,,,
2023-08-16 13:10:30,"Pecs Et Dos",35min,"Incline Bench Press (Barbell)",4,25.0,6,0,0,,,
2023-08-16 13:10:30,"Pecs Et Dos",35min,"Seated Row (Machine)",1,27.0,8,0,0,"",,
2023-08-16 13:10:30,"Pecs Et Dos",35min,"Seated Row (Machine)",2,32.0,8,0,0,,,
2023-08-16 13:10:30,"Pecs Et Dos",35min,"Seated Row (Machine)",3,36.0,8,0,0,,,
2023-08-16 13:10:30,"Pecs Et Dos",35min,"Chest Fly",1,32.0,8,0,0,"",,
2023-08-16 13:10:30,"Pecs Et Dos",35min,"Chest Fly",2,39.0,8,0,0,,,
2023-08-16 13:10:30,"Pecs Et Dos",35min,"Chest Fly",3,32.0,8,0,0,,,
2023-08-16 13:10:30,"Pecs Et Dos",35min,"Preacher Curl (Machine)",1,15.0,10,0,0,"",,
2023-08-16 13:10:30,"Pecs Et Dos",35min,"Preacher Curl (Machine)",2,20.0,10,0,0,,,
2023-08-16 13:10:30,"Pecs Et Dos",35min,"Preacher Curl (Machine)",3,20.0,10,0,0,,,
2023-08-18 13:01:21,"Jambes",30min,"Calf Press on Leg Press",1,75.0,8,0,0,"","",
2023-08-18 13:01:21,"Jambes",30min,"Calf Press on Leg Press",2,95.0,8,0,0,,,
2023-08-18 13:01:21,"Jambes",30min,"Calf Press on Leg Press",3,115.0,8,0,0,,,
2023-08-18 13:01:21,"Jambes",30min,"Calf Press on Leg Press",4,135.0,8,0,0,,,
2023-08-18 13:01:21,"Jambes",30min,"Calf Press on Leg Press",5,135.0,8,0,0,,,
2023-08-18 13:01:21,"Jambes",30min,"Bicep Curl (Dumbbell)",1,7.0,8,0,0,"",,
2023-08-18 13:01:21,"Jambes",30min,"Bicep Curl (Dumbbell)",2,8.0,8,0,0,,,
2023-08-18 13:01:21,"Jambes",30min,"Bicep Curl (Dumbbell)",3,8.0,8,0,0,,,
2023-08-18 13:01:21,"Jambes",30min,"Bicep Curl (Dumbbell)",4,7.0,8,0,0,,,
2023-08-18 13:01:21,"Jambes",30min,"Skullcrusher (Barbell)",1,10.0,8,0,0,"",,
2023-08-18 13:01:21,"Jambes",30min,"Skullcrusher (Barbell)",2,15.0,8,0,0,,,
2023-08-18 13:01:21,"Jambes",30min,"Skullcrusher (Barbell)",3,15.0,5,0,0,,,
2023-08-18 13:01:21,"Jambes",30min,"Skullcrusher (Barbell)",4,10.0,8,0,0,,,
2023-08-18 13:01:21,"Jambes",30min,"Skullcrusher (Barbell)",5,10.0,9,0,0,,,
2023-08-18 13:01:21,"Jambes",30min,"Arnold Press (Dumbbell)",1,10.0,8,0,0,"",,
2023-08-18 13:01:21,"Jambes",30min,"Arnold Press (Dumbbell)",2,10.0,7,0,0,,,
2023-08-18 13:01:21,"Jambes",30min,"Lateral Raise (Dumbbell)",1,6.0,10,0,0,"",,
2023-08-18 13:01:21,"Jambes",30min,"Lateral Raise (Dumbbell)",2,6.0,8,0,0,,,
2023-08-22 13:05:24,"Pecs Et Dos",39min,"Aerobics",1,0,0,0,600,"","",
2023-08-22 13:05:24,"Pecs Et Dos",39min,"Bench Press (Dumbbell)",1,20.0,8,0,0,"",,
